bioclimatic_zone,structure,category,physiography_limit,code,color_class,color,broad_class,map_class,target,macrogroup_code,macrogroup,group_code,group
3. Boreal,coniferous tree,peatland,ombrotrophic,202,Bog,AEFFB9,Needleleaf Bog,"Alaska-Yukon Black Spruce Peatland, Ombrotrophic",,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
3. Boreal,coniferous tree,wet vegetation,ombrotrophic,216,Bog,AEFFB9,Needleleaf Bog,"Alaska-Yukon White Spruce Peatland, Ombrotrophic",,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
3. Boreal,coniferous tree,wet vegetation,none,217,Bog,D3FFD9,Needleleaf Tamarack Bog,Alaska-Yukon Tamarack (-Black Spruce) Peatland,,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
3. Boreal,coniferous tree,peatland,ombrotrophic,203,Bog,A0EAAA,Needleleaf Tussock,"Alaska-Yukon Black Spruce-Tussock Peatland, Ombrotrophic",,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
1. Temperate,various,peatland,ombrotrophic,91,Bog,739878,Sedge-Sphagnum Bog,"Alaska Pacific (Dwarf Shrub) Sedge-Sphagnum Peatland, Ombrotrophic",subgroup,M559,North Pacific Bog & Acidic Fen,G284,North Pacific Open Bog & Acidic Fen
3. Boreal,various,peatland,ombrotrophic,201,Bog,739878,Sedge-Sphagnum Bog,"Alaska-Yukon (Dwarf Shrub) Sedge-Sphagnum Peatland, Ombrotrophic",subgroup,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
4. Arctic,herbaceous,peatland,ombrotrophic,262,Bog,739878,Sedge-Sphagnum Bog,"Arctic (Dwarf Shrub) Sedge-Sphagnum Peatland, Ombrotrophic",alliance,M001ak,Arctic Permafrost Bog and Acidic Fen,G0001ak,"Arctic Permafrost Peatland, Ombrotrophic"
1. Temperate,shrub,peatland,ombrotrophic,92,Bog,82BA89,Shrub-Sphagnum Bog,"Alaska Pacific Shrub-Sphagnum Peatland, Ombrotrophic",subgroup,M559,North Pacific Bog & Acidic Fen,G284,North Pacific Open Bog & Acidic Fen
3. Boreal,shrub,peatland,ombrotrophic,204,Bog,82BA89,Shrub-Sphagnum Bog,"Alaska-Yukon Shrub-Sphagnum Peatland, Ombrotrophic",subgroup,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
4. Arctic,shrub,peatland,ombrotrophic,261,Bog,82BA89,Shrub-Sphagnum Bog,"Arctic Shrub-Sedge Peatland, Ombrotrophic",alliance,M001ak,Arctic Permafrost Bog and Acidic Fen,G0001ak,"Arctic Permafrost Peatland, Ombrotrophic"
3. Boreal,various,peatland,ombrotrophic,205,Bog,92B179,Tussock Bog,"Alaska-Yukon Tussock Peatland, Ombrotrophic",,M876,North American Boreal & Subboreal Bog & Acidic Fen,G360,Western Boreal Bog & Acidic Fen
3. Boreal,deciduous tree,steppe bluff,none,161,Broadleaf,72D0D1,Aspen Forest,Alaska-Yukon Aspen Dry Woodland / Steppe Bluff,,M179,North American Northern Boreal Woodland,G349,Alaskan Boreal Dry Woodland
3. Boreal,deciduous tree,mesic vegetation,none,162,Broadleaf,5FADAD,Aspen Successional Forest,Alaska-Yukon Aspen Forest Mesic (Successional),,M179,North American Northern Boreal Woodland,G349,Alaskan Boreal Dry Woodland
1. Temperate,deciduous tree,mesic vegetation,none,2,Broadleaf,3B6C6C,Birch Forest,Alaska Pacific Birch Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
3. Boreal,deciduous tree,mesic vegetation,none,111,Broadleaf,3B6C6C,Birch Forest,Alaska-Yukon Birch Forest Mesic (Central),,M156,Alaska-Yukon North American Boreal Forest,G579,Central Alaska-Yukon Boreal Mesic Forest
3. Boreal,deciduous tree,mesic vegetation,none,131,Broadleaf,3B6C6C,Birch Forest,Alaska-Yukon Birch Forest Mesic (Southern),,M156,Alaska-Yukon North American Boreal Forest,G627,Southern Alaskan Boreal Mesic Forest
1. Temperate,mixed tree,mesic vegetation,none,3,Broadleaf,4A8788,Poplar Forest,Alaska Pacific Sitka Spruce-Cottonwood Forest Mesic,subgroup,M024,North Pacific Coastal Rainforest,G750,Coastal Alaskan Western Hemlock - Sitka Spruce Rainforest
3. Boreal,deciduous tree,mesic vegetation,none,136,Broadleaf,4A8788,Poplar Forest,Alaska-Yukon Poplar Forest Mesic (Southern),,M156,Alaska-Yukon North American Boreal Forest,G627,Southern Alaskan Boreal Mesic Forest
3. Boreal,deciduous tree,mesic vegetation,none,153,Broadleaf,4A8788,Poplar Forest,Alaska-Yukon Poplar Woodland Mesic,,M179,North American Northern Boreal Woodland,G1195,Alaska-Yukon Northern & Montane Boreal Mesic Woodland
1. Temperate,herbaceous,beach,coastal,42,Coastal,FFEAC2,Beach,Alaska Pacific Herbaceous Coastal Dune & Beach,subgroup,M059,Pacific Coastal Beach & Dune,G498,North Pacific Maritime Dune & Coastal Beach
